ReactionCoordinate,Temperature,WorkerID,MaxDev,MaxJump,MinEnergy,Valid,aveF,avePsi,dXTangent,postT,preT,stdF
0,300,0,0.142947,0.000108255,-2828.38,1,-0.393055,1,7.54402e-15,300.811,298.773,0.0836561
0,300,1,0.126243,9.70788e-05,-2828.38,1,0.0363716,1,2.44428e-14,298.359,297.606,0.0678554
0,300,2,0.120023,9.57834e-05,-2828.38,1,-0.0647567,1,2.07164e-14,297.787,298.79,0.0399375
0,300,3,0.148725,4.4716e-05,-2828.38,1,-0.0558685,1,4.80189e-14,299.622,300.544,0.106032
0.125,300,0,0.129682,0.0100707,-2828.33,1,0.613512,1.28404,3.42814e-14,297.975,297.066,0.07107
0.125,300,1,0.149721,0.0100066,-2828.33,1,0.581054,2.02857,1.85428e-14,299.812,300.575,0.0986882
0.125,300,2,0.123064,0.0100308,-2828.33,1,0.652377,1.56741,4.71393e-14,297.481,299.59,0.142075
0.125,300,3,0.123168,0.00998655,-2828.33,1,0.316679,0.558025,2.42744e-14,298.723,302.222,0.0143013
0.25,300,0,0.129647,0.00490803,-2828.23,1,0.906306,0.984687,2.2901e-14,298.064,297.202,0.0344197
0.25,300,1,0.11357,0.00493946,-2828.23,1,0.745707,0.9043,4.93496e-15,299.365,299.974,0.0265997
0.25,300,2,0.115367,0.00490893,-2828.23,1,0.837342,0.991934,1.32856e-14,300.411,299.533,0.0404844
0.25,300,3,0.121936,0.00496229,-2828.23,1,0.768795,1.01286,7.18107e-15,300.219,299.594,0.0258424
0.375,300,0,0.161821,0.00371338,-2828.14,1,0.666449,1.0814,2.59757e-14,299.637,297.724,0.042288
0.375,300,1,0.131644,0.00360987,-2828.14,1,0.547271,1.03439,1.8337e-14,299.477,301.702,0.0459246
0.375,300,2,0.279942,0.00366639,-2828.14,1,0.447643,1.14693,1.68813e-14,300.071,298.78,0.180752
0.375,300,3,0.137597,0.00357181,-2828.14,1,0.585611,1.0709,2.83245e-15,299.247,299.439,0.0477592
0.5,300,0,0.121979,0.000112507,-2828.11,1,0.0216869,1.00548,5.72555e-15,298.707,299.16,0.0226234
0.5,300,1,0.118794,0.000114509,-2828.11,1,0.00741085,0.942446,2.02991e-14,299.912,301.55,0.0248311
0.5,300,2,0.141884,0.000156315,-2828.11,1,-0.0741631,0.893932,5.72347e-14,300.38,300.705,0.0220002
0.5,300,3,0.177401,0.000101149,-2828.11,1,0.064167,0.874022,1.25294e-14,298.815,300.381,0.036298
0.625,300,0,0.113039,0.00351569,-2828.14,1,-0.542206,1.04738,6.83069e-15,299.995,298.557,0.0264167
0.625,300,1,0.131049,0.00351115,-2828.14,1,-0.475046,0.943509,4.2322e-14,298.909,298.806,0.0224506
0.625,300,2,0.121893,0.00356165,-2828.14,1,-0.535154,1.06952,9.97167e-15,299.603,296.973,0.0435237
